no  name    h   a   b   c   d   s   total
101	マルマイン	60	50	70	80	80	150	490
887	ドラパルト	88	120	75	100	75	142	600
992	テツノツツミ	56	80	114	124	60	136	570
847	カマスジョー	61	123	60	60	50	136	490
999	ミライドン	100	85	100	135	115	135	670
998	コライドン	100	135	115	85	100	135	670
995	パオジアン	80	120	80	90	65	135	570
983	ハバタクカミ	55	55	55	135	135	135	570
875	コオリッポ(ナイスフェイス)	75	80	70	65	50	130	470
135	サンダース	65	65	60	110	95	130	525
663	ファイアロー	78	81	71	74	69	126	499
958	タイカイデン	70	70	60	105	60	125	490
461	マニューラ	70	120	65	45	85	125	510
908	マスカーニャ	76	110	70	81	70	123	530
715	オンバーン	85	70	80	97	80	123	535
953	モトトカゲ	70	95	65	85	65	121	501
930	ウミトリオ	35	100	50	50	70	120	425
051	ダグトリオ	35	100	50	50	70	120	425
985	トドロクツキ	105	139	71	55	101	119	590
815	エースバーン	80	116	75	65	75	119	530
701	ルチャブル	78	92	75	74	63	118	500
758	エンニュート	68	64	60	111	60	117	480
993	テツノブジン	74	130	90	120	60	116	590
419	フローゼル	85	105	55	85	50	115	495
215	ニューラ	55	95	55	35	75	115	430
053	ペルシアン	65	70	60	65	65	115	440
745	ルガルガン(まひるのすがた)	75	115	65	55	65	112	487
982	サケブシッポ	115	65	99	65	115	111	570
946	イッカネズミ	74	75	70	65	75	111	470
988	テツノドクガ	80	70	60	140	110	110	570
969	タギングル	63	95	65	80	72	110	485
745	ルガルガン(たそがれのすがた)	75	117	65	55	65	110	487
478	ユキメノコ	70	80	70	80	70	110	480
196	エーフィ	65	65	60	130	95	110	525
189	ワタッコ	75	55	70	55	95	110	460
094	ゲンガー	60	65	60	130	75	110	500
026	ライチュウ	60	90	55	90	80	110	485
990	テツノコウベ	94	80	86	122	80	108	570
986	テツノワダチ	90	112	120	72	70	106	570
668	カエンジシ	86	68	72	109	66	106	507
956	パーモット	70	115	70	70	60	105	490
927	クエスパトラ	95	60	60	101	60	105	481
615	フリージオ	80	50	50	95	135	105	515
571	ゾロアーク	60	105	60	120	60	105	510
429	ムウマージ	60	60	60	105	105	105	495
123	ストライク	70	110	80	55	80	105	500
886	ドロンチ	68	80	50	60	50	102	410
445	ガブリアス	108	130	95	80	85	102	600
981	スナノケガワ	85	81	97	121	85	101	570
702	デデンネ	67	58	57	81	67	101	431
1007	リククラゲ	80	70	65	80	120	100	515
997	イーユイ	55	80	80	135	120	100	570
934	イルカマン(マイティフォルム)	100	160	97	106	87	100	650
934	イルカマン(ナイーブフォルム)	100	70	72	53	62	100	457
637	ウルガモス	85	60	65	135	105	100	550
398	ムクホーク	85	120	70	50	60	100	485
373	ボーマンダ	95	135	80	110	80	100	600
289	ケッキング	150	160	100	95	65	100	670
128	ケンタロス(パルデアのすがた)	75	110	105	30	70	100	490
100	ビリリダマ	40	30	50	55	55	100	330
006	リザードン	78	84	78	109	85	100	534
635	サザンドラ	92	105	90	125	90	98	600
550	バスラオ	70	92	65	80	55	98	460
612	オノノクス	76	147	90	60	70	97	540
370	ラブカス	43	30	55	40	65	97	330
778	ミミッキュ	55	90	80	50	105	96	476
971	バウッツェル	57	80	115	50	80	95	477
929	ウミディグダ	10	55	25	35	25	95	245
876	イエッサン(オスのすがた)	60	65	55	105	95	95	475
586	メブキジカ	80	100	70	60	70	95	475
470	リーフィア	65	110	130	60	65	95	525
417	パチリス	60	45	70	45	90	95	405
229	ヘルガー	75	90	50	110	80	95	500
093	ゴースト	45	50	45	115	55	95	405
059	ウインディ	90	110	80	100	80	95	555
057	オコリザル	65	105	60	60	70	95	455
050	ディグダ	10	55	25	35	45	95	265
1002	デカヌチャン	85	75	77	70	105	94	506
814	ラビフット	65	86	60	55	60	94	420
741	オドリドリ	75	70	70	98	70	93	476
960	イキリンコ	82	96	51	45	51	92	417
921	エクスレッグ	71	102	78	52	55	92	450
779	ハギギシリ	68	105	70	70	70	92	475
553	ワルビアル	95	117	80	65	70	92	519
479	ロトム	50	50	77	95	77	91	440
457	ネオラント	69	69	76	69	86	91	460
198	ヤミカラス	60	85	42	85	42	91	405
1010	コノヨザル	110	115	80	50	90	90	535
975	アノホラグサ	55	115	70	80	70	90	480
961	カラミンゴ	82	115	74	75	64	90	500
943	ブロロローム	80	119	90	54	67	90	500
549	ドレディア	70	60	75	110	75	90	480
448	ルカリオ	70	110	70	115	70	90	525
335	ザングース	73	115	60	60	60	90	458
288	ヤルキモノ	80	80	80	55	55	90	440
052	ニャース	40	45	35	40	40	90	290
049	モルフォン	70	65	60	90	75	90	450
025	ピカチュウ	35	55	40	50	50	90	320
666	ビビヨン	80	52	50	90	50	89	411
978	イダイナキバ	115	131	131	53	53	87	570
951	セグレイブ	115	145	92	75	86	87	600
967	キラフロル	83	55	90	130	81	86	525
479	ロトム	50	65	107	105	107	86	520
1005	ソウブレイズ	75	125	80	60	100	85	525
973	マフィティフ	80	120	90	60	70	85	505
955	パモット	60	75	40	50	40	85	350
914	ウェーニバル	85	120	80	85	75	85	530
876	イエッサン(メスのすがた)	70	55	65	95	105	85	475
454	ドクロッグ	83	106	65	86	65	85	490
418	ブイゼル	55	65	35	60	30	85	330
278	キャモメ	40	30	30	55	30	85	270
234	オドシシ	73	95	62	85	65	85	465
